sample_id,hazard,probability,risk_level,latency_ms
0,True,0.7487551654559532,HIGH,29.462337493896484
1,False,0.12265239250504806,LOW,27.088165283203125
2,False,0.08646916730635358,LOW,27.577877044677734
3,False,0.18381980712354898,LOW,27.217626571655273
4,False,0.15183873876005413,LOW,27.845144271850586
5,False,0.08504554035716996,LOW,26.6115665435791
6,False,0.12938215267154057,LOW,27.93407440185547
7,False,0.12802276185823872,LOW,26.74245834350586
8,False,0.11163546978407687,LOW,26.55649185180664
9,False,0.09702377471986588,LOW,27.216434478759766
10,True,0.8184898337453326,CRITICAL,26.66783332824707
11,False,0.11169948968937778,LOW,26.28350257873535
12,False,0.07638546343514023,LOW,26.691436767578125
13,False,0.14220855201913055,LOW,26.569366455078125
14,True,0.9992,CRITICAL,26.846885681152344
15,True,0.9151551641421537,CRITICAL,59.47566032409668
16,False,0.08151532698083143,LOW,26.909589767456055
17,False,0.09476575924196898,LOW,27.231454849243164
18,False,0.0694578383269559,LOW,26.88312530517578
19,False,0.13090496496744478,LOW,27.300119400024414
20,False,0.149762591837074,LOW,27.158021926879883
21,True,0.961872665975823,CRITICAL,26.52573585510254
22,True,0.9045619103846064,CRITICAL,26.903629302978516
23,False,0.4690571493537021,MEDIUM,26.992321014404297
24,False,0.1137461300687672,LOW,26.63278579711914
25,True,0.7491906112876329,HIGH,28.266191482543945
26,False,0.10998132435046204,LOW,26.50165557861328
27,False,0.151808081319745,LOW,27.6336669921875
28,False,0.07036004333735399,LOW,27.076005935668945
29,False,0.12095902646090641,LOW,26.849746704101562
30,False,0.0886229364257658,LOW,27.330636978149414
31,False,0.09802972756670164,LOW,27.51302719116211
32,False,0.08421414441401875,LOW,27.691364288330078
33,True,0.9871986681465039,CRITICAL,26.777982711791992
34,False,0.10175360339753786,LOW,27.1909236907959
35,False,0.14069653509195787,LOW,26.919841766357422
36,False,0.0856248077333858,LOW,27.1151065826416
37,False,0.06822313101757288,LOW,27.297258377075195
38,True,1.0,CRITICAL,26.82018280029297
39,False,0.17355124654584533,LOW,26.90410614013672
40,False,0.1453404327900082,LOW,26.751995086669922
41,False,0.10453725733440514,LOW,27.031898498535156
42,False,0.14680626091309373,LOW,26.530981063842773
43,False,0.09559589302789086,LOW,26.50284767150879
44,True,0.9994557823129252,CRITICAL,26.908397674560547
45,False,0.055390868731726134,LOW,26.30329132080078
46,False,0.1578079035557543,LOW,26.871442794799805
47,False,0.09294147751234955,LOW,26.33523941040039
48,False,0.12440890180951919,LOW,26.9315242767334
49,False,0.1063686600437884,LOW,27.802228927612305
50,False,0.13124881427299007,LOW,27.10700035095215
51,False,0.11787132919043909,LOW,27.71615982055664
52,False,0.1350836645739475,LOW,27.697324752807617
53,True,0.7644595096115953,HIGH,26.596546173095703
54,False,0.3588571977279082,LOW,27.00972557067871
55,True,0.9936796536796537,CRITICAL,26.962995529174805
56,False,0.14515409320323125,LOW,26.758432388305664
57,False,0.12605388517390603,LOW,26.629924774169922
58,False,0.1900988501363961,LOW,26.31974220275879
59,True,0.9572445668022692,CRITICAL,26.801586151123047
60,True,0.9976470588235294,CRITICAL,26.58390998840332
61,False,0.04438219934689067,LOW,26.898622512817383
62,False,0.08966558183563217,LOW,26.860713958740234
63,False,0.1381089282392673,LOW,26.510238647460938
64,False,0.14565971565751554,LOW,28.188705444335938
65,False,0.049416167196568335,LOW,26.73482894897461
66,False,0.10453970305226105,LOW,27.43840217590332
67,False,0.11997613483850271,LOW,26.636600494384766
68,True,0.9725623973727422,CRITICAL,26.86476707458496
69,True,0.9832627684302561,CRITICAL,28.602123260498047
70,False,0.09900119908740448,LOW,27.65631675720215
71,False,0.11861680045391221,LOW,27.039051055908203
72,False,0.10329652328754584,LOW,26.74698829650879
73,False,0.05658772555291589,LOW,27.26435661315918
74,False,0.14393333308669645,LOW,26.699066162109375
75,True,0.9888540192846648,CRITICAL,27.164459228515625
76,False,0.12342135798046865,LOW,27.132034301757812
77,False,0.13681809088717914,LOW,26.51190757751465
78,False,0.12401833647663349,LOW,27.605295181274414
79,True,0.9803723311271457,CRITICAL,26.360511779785156
80,False,0.07421260082250355,LOW,26.279449462890625
81,True,0.5867799211865894,MEDIUM,26.48758888244629
82,False,0.0992539085586648,LOW,26.675701141357422
83,True,0.9549017182477839,CRITICAL,26.218175888061523
84,True,0.614524411500584,HIGH,26.947021484375
85,False,0.0972783667943363,LOW,26.656627655029297
86,False,0.14890246229407328,LOW,26.404142379760742
87,False,0.13454632958172866,LOW,27.662992477416992
88,False,0.05597259622089466,LOW,27.599573135375977
89,False,0.42050881676681123,MEDIUM,26.331186294555664
90,False,0.2258672049652403,LOW,26.89647674560547
91,False,0.22235626810989667,LOW,27.057647705078125
92,False,0.11533307861848567,LOW,26.8552303314209
93,False,0.08075630943121778,LOW,26.560068130493164
94,True,0.7944795677034054,HIGH,26.812076568603516
95,True,1.0,CRITICAL,27.369260787963867
96,False,0.06933389151754954,LOW,27.460575103759766
97,True,0.9994557823129252,CRITICAL,27.025938034057617
98,False,0.14237389855666957,LOW,26.45564079284668
99,False,0.06547192476086489,LOW,26.4742374420166
