feature,mean,std
accel_x,0.004420047504255575,0.78920702022472
accel_y,0.0005599901855651411,0.29273528476102767
accel_z,9.79955164744848,0.14011780456642464
steering_angle,0.7636802028675276,23.748885166303584
brake_pressure,18.629664001150374,17.33498858113184
speed,59.36218079076672,19.03399295766118
accel_x_change,0.0012494564678283747,1.1103939043320519
steering_change,0.010131913144677865,33.55743972884558
brake_change,-0.11843691921934683,24.713647641825332
accel_x_std,0.7070158552317279,0.34710406378041503
steering_std,23.236557419877716,4.475509649057619
speed_std,18.644108602270723,3.7055709483866464
accel_magnitude,9.835286965099167,0.16290280059642226
jerk,-0.0006499870345297688,0.2299552945554369
